Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Manufacturer
https://www.amazon.in/Professional-Organizer-Waterproof-Compartment-Accessories/dp/B0C7VJ1LFG/ref=sr_1_295?crid=2M096C61O4MLT&keywords=bags&qid=1690393422&sprefix=ba%2Caps%2C283&sr=8-295,VIULVUK Professional Large Makeup Kit Organizer for Girls | Waterproof Cosmetic ,₹169,4.0,,,,
https://www.amazon.in/Hammonds-Flycatcher-Messenger-LB106MH-Brushwood/dp/B0851GC4WL/ref=sr_1_296?crid=2M096C61O4MLT&keywords=bags&qid=1690393422&sprefix=ba%2Caps%2C283&sr=8-296,HAMMONDS FLYCATCHER Genuine Leather Laptop ,"₹2,623",4.3,,,,
https://www.amazon.in/Cosmus-Darwin-Dx-Laptop-Backpack/dp/B077P4Z91X/ref=sr_1_297?crid=2M096C61O4MLT&keywords=bags&qid=1690393422&sprefix=ba%2Caps%2C283&sr=8-297,COSMUS Darwin Dx Laptop Backpack - 29 litres Linen Polyester Durable Fabric Office Laptop ,"₹1,451",4.4,,,,
https://www.amazon.in/American-Tourister-FJ9-08-001/dp/B07N15QM1C/ref=sr_1_298?crid=2M096C61O4MLT&keywords=bags&qid=1690393422&sprefix=ba%2Caps%2C283&sr=8-298,American Tourister Ohio Polyester 55 Cms Wheel Travel Duffle ,"₹1,799",4.1,,,,
https://www.amazon.in/F-Gear-Blackhawk-Black-Laptop-Backpack/dp/B07XMRGQCM/ref=sr_1_299?crid=2M096C61O4MLT&keywords=bags&qid=1690393422&sprefix=ba%2Caps%2C283&sr=8-299,F Gear Blackhawk 40 Ltrs Black Laptop Backpack (3178),"₹1,649",4.3,,,,
https://www.amazon.in/Cosmetic-Bags-Women-Aesthetic-Organizer/dp/B0C77ZN924/ref=sr_1_300?crid=2M096C61O4MLT&keywords=bags&qid=1690393422&sprefix=ba%2Caps%2C283&sr=8-300,Cosmetic ,₹279,,,,,
https://www.amazon.in/LuvLap-Travel-Multifunctional-Waterproof-Bag-Backpack/dp/B07W6Z8XKB/ref=sr_1_301?crid=2M096C61O4MLT&keywords=bags&qid=1690393422&sprefix=ba%2Caps%2C283&sr=8-301,LuvLap Lily Travel Multifunctional Waterproof Diaper ,"₹1,135",4.4,,,,
https://www.amazon.in/Fur-Jaden-Charging-Waterproof-BM36_BlueZip/dp/B07MXM5M99/ref=sr_1_302?crid=2M096C61O4MLT&keywords=bags&qid=1690393422&sprefix=ba%2Caps%2C283&sr=8-302,Fur Jaden 15.6 Inch Laptop Backpack 25 LTR ,₹479,3.9,,,,
https://www.amazon.in/Lunars-Travel-Laptop-Bag-compartments/dp/B08NHL52MK/ref=sr_1_303?crid=2M096C61O4MLT&keywords=bags&qid=1690393422&sprefix=ba%2Caps%2C283&sr=8-303,"Lunar's Unisex 50L Water Resistant Office/Travel/Business Laptop Backpack, ","₹1,199",4.0,,,,
https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B0C85YB2S3/ref=sr_1_304?crid=2M096C61O4MLT&keywords=bags&qid=1690393422&sprefix=ba%2Caps%2C283&sr=8-304,"Genie Royale Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight ",₹899,,,,,
